SIBS,CHILDS,AGE,AGEKDBRN,EDUC,PAEDUC,MAEDUC,DEGREE,PADEG,MADEG,INCOM16,HOMPOP,INCOME,INCOME16,POLVIEWS,EQWLTH,HEALTH,CONBUS,CONEDUC,CONLABOR,CONPRESS,CONTV,CONSCI,NEWS,TVHOURS,STRESSWK,HELPPOOR,WWWHR,TWITTER,FACEBOOK,INSTAGRM,LINKEDIN,TUMBLR,PINTERST,CLSSMTES,SOCMED,MNTLHLTH,CESD1,SCISTUDY,COLDEG1,SCIENTGO,SCIENTBE,RINTJOB,RHLPSOC,PROUDWRK,REALINC,REALRINC
2,2,29,23,14,12.04782821,14,2,2,2,3,3,12,20,1,1,3,2,3,2,3,3,1,5,3.316676351,1,1,14.3137931,0,0,0,0,0,0,0,0,0,2,2,0,2.5,2.5,2,1,1,31590,0
11,0,89,0,8,12.04782821,3,0,0,0,1,2,9,10,4,0,3,2,2,2,2,2,2,3,5,2.5,3,14.3137931,0,0,0,0,0,0,0,0,0,0,3,0,1,2.5,3,3,3,6435,0
1,0,78,0,12,8,9,1,0,0,3,1,12,16,4,3,2,2,2,2,3,3,2,5,3.316676351,2.5,3,14.3137931,0,0,0,0,0,0,0,0,0,1,2,0,2.5,2.5,3,3,3,15210,0
6,3,52,17,12,12.04782821,4,1,2,0,2,1,9,9,3,0,3,2,2,2,2,2,2,5,4,2.5,3,14.3137931,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,3,3,5265,0
1,0,50,0,11,12.04782821,10,1,2,0,3,1,9,10,4,0,3,2,2,2,2,2,2,3,2,2.5,3,5,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,3,3,6435,0
1,1,25,23,16,16,14,3,3,2,3,2,12,17,6,6,2,2,1,1,2,3,2,5,3.316676351,2.5,4,14.3137931,0,5,0,0,0,1,0,6,0,1,2,0,2.5,2.5,2,3,3,17550,0
3,2,37,30,16,16,12,3,3,1,4,4,12,24,3,0,3,2,2,2,2,2,2,5,3.316676351,2.5,3,10,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3,3,3,65520,65520
2,2,54,31,16,16,12,3,3,3,3,3,6.5,13.5,4,5,1,1,1,2,2,1,1,5,3.316676351,3,3,14.3137931,0,0,0,0,0,0,0,0,0,1,2,0,2.5,2.5,2,3,2,0,0
6,3,52,34,14,12.04782821,0,2,2,0,3,2,6.5,13.5,4,0,2,2,2,2,2,2,2,3,3.316676351,2.5,3,14.3137931,0,0,0,0,0,0,0,0,0,0,3,0,2.5,2.5,3,3,3,0,0
8,0,48,0,14,12,10,1,0,0,4,2,6.5,26,4,5,5,3,3,3,3,3,1,1,2,2.5,2,1,0,0,0,0,0,0,0,0,0,0,2,0,2.5,2.5,3,2,2,131676.6906,46800
