"crit","zip"
"9002642","04355"
"9002643","04357"
"9002644","04358"
"9002645","04359"
"9002646","04360"
"9002647","04363"
"9002648","04364"
"9002649","04401"
"9002650","04406"
"9002651","04408"
"9002652","04410"
"9002653","04411"
"9002654","04412"
"9002655","04413"
"9002656","04414"
"9002657","04416"
"9002658","04417"
"9002659","04418"
"9002660","04419"
"9002661","04421"
"9002662","04422"
"9002663","04424"
"9002664","04426"
"9002665","04427"
"9002666","04428"
"9002667","04429"
"9002668","04430"
"9002669","04434"
"9002670","04435"
"9002671","04438"
"9002672","04441"
"9002673","04442"
"9002674","04443"
"9002675","04444"
"9002676","04448"
"9002677","04449"
"9002678","04450"
"9002679","04451"
"9002680","04453"
"9002681","04454"
"9002682","04455"
"9002683","04456"
"9002684","04457"
"9002685","04459"
"9002686","04460"
"9002687","04461"
"9002688","04462"
"9002689","04463"
"9002690","04464"
"9002691","04468"
"9002692","04471"
"9002693","04472"
"9002694","04473"
"9002695","04474"
"9002696","04475"
"9002697","04476"
"9002698","04478"
"9002699","04479"
"9002700","04481"
"9002701","04485"
"9002702","04487"
"9002703","04488"
"9002704","04490"
"9002705","04491"
"9002706","04492"
"9002707","04493"
"9002708","04495"
"9002709","04496"
"9002710","04497"
"9002711","04530"
"9002712","04535"
"9002713","04537"
"9002714","04538"
"9002715","04539"
"9002716","04541"
"9002717","04543"
"9002718","04544"
"9002719","04547"
"9002720","04548"
"9002721","04551"
"9002722","04553"
"9002723","04554"
"9002724","04555"
"9002725","04556"
"9002726","04558"
"9002727","04562"
"9002728","04563"
"9002729","04564"
"9002730","04568"
"9002731","04571"
"9002732","04572"
"9002733","04573"
"9002734","04574"
"9002736","04576"
"9002737","04578"
"9002738","04579"
"9002739","04605"
"9002740","04606"
"9002741","04607"
"9002742","04609"
"9002743","04611"
"9002744","04612"
"9002745","04614"
"9002746","04615"
"9002747","04616"
"9002748","04617"
"9002749","04619"
"9002750","04622"
"9002751","04623"
"9002752","04624"
"9002753","04626"
"9002754","04627"
"9002755","04628"
"9002756","04630"
"9002757","04631"
"9002758","04634"
"9002759","04635"
"9002760","04637"
"9002761","04640"
"9002762","04643"
"9002763","04645"
"9002764","04646"
"9002765","04648"
"9002766","04649"
"9002767","04652"
