Criteria ID,Name ,CName,Parent ID,Country Code,Target Type ,Status,Zip Code,District,Name,Region,Brand,System,City,State,Population,New Res.
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1302,56,Albany Pest,7,Ehrlich,iRIS,Greenfield,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1470,68,North Boston Pest,3,Ehrlich,iRIS,Groton,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1508,68,North Boston Pest,3,Ehrlich,iRIS,Charlton City,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1509,68,North Boston Pest,3,Ehrlich,iRIS,Charlton Depot,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1526,56,Albany Pest,7,Ehrlich,iRIS,Manchaug,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1601,68,North Boston Pest,3,Ehrlich,iRIS,Worcester,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1614,68,North Boston Pest,3,Ehrlich,iRIS,Worcester,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1615,68,North Boston Pest,3,Ehrlich,iRIS,Worcester,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1654,68,North Boston Pest,3,Ehrlich,iRIS,Worcester,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1655,68,North Boston Pest,3,Ehrlich,iRIS,Worcester,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1703,68,North Boston Pest,3,Ehrlich,iRIS,Framingham,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1704,68,North Boston Pest,3,Ehrlich,iRIS,Framingham,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1705,68,North Boston Pest,3,Ehrlich,iRIS,Framingham,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1805,68,North Boston Pest,3,Ehrlich,iRIS,Burlington,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1806,68,North Boston Pest,3,Ehrlich,iRIS,Woburn,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1807,68,North Boston Pest,3,Ehrlich,iRIS,Woburn,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1808,68,North Boston Pest,3,Ehrlich,iRIS,Woburn,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1812,68,North Boston Pest,3,Ehrlich,iRIS,Andover,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1813,68,North Boston Pest,3,Ehrlich,iRIS,Woburn,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1815,68,North Boston Pest,3,Ehrlich,iRIS,Woburn,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1822,68,North Boston Pest,3,Ehrlich,iRIS,Billerica,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1831,68,North Boston Pest,3,Ehrlich,iRIS,Haverhill,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1842,68,North Boston Pest,3,Ehrlich,iRIS,Lawrence,MA,0,yes
(not set),(not set),(not set),(not set),(not set),(not set),(not set),1853,68,North Boston Pest,3,Ehrlich,iRIS,Lowell,MA,0,yes
